t,ch1,ch1_marked,ch1_ai_marked
164.646,0.33486,0,0.0
164.647,0.29907,0,0.0
164.648,0.31952,0,0.0
164.649,0.32208,0,0.0
164.65,0.35275,0,0.0
164.651,0.31441,0,0.0
164.652,0.31441,0,0.0
164.653,0.31952,0,0.0
164.654,0.32208,0,0.0
164.655,0.32719,0,0.0
164.656,0.31952,0,0.0
164.657,0.32208,0,0.0
164.658,0.33997,0,0.0
164.659,0.30674,0,0.0
164.66,0.30418,0,0.0
164.661,0.31952,0,0.0
164.662,0.32463,0,0.0
164.663,0.30929,0,0.0
164.664,0.29651,0,0.0
164.665,0.29396,0,0.0
164.666,0.31696,0,0.0
164.667,0.32208,0,0.0
164.668,0.29907,0,0.0
164.669,0.31441,0,0.0
164.67,0.32719,0,0.0
164.671,0.31952,0,0.0
164.672,0.29396,0,0.0
164.673,0.30418,0,0.0
164.674,0.31696,0,0.0
164.675,0.2914,0,0.0
164.676,0.31441,0,0.0
164.677,0.30929,0,0.0
164.678,0.30163,0,0.0
164.679,0.28629,0,0.0
164.68,0.30929,0,0.0
164.681,0.31185,0,0.0
164.682,0.31185,0,0.0
164.683,0.30418,0,0.0
164.684,0.31185,0,0.0
164.685,0.29396,0,0.0
164.686,0.30163,0,0.0
164.687,0.29396,0,0.0
164.688,0.28373,0,0.0
164.689,0.31441,0,0.0
164.69,0.30674,0,0.0
164.691,0.28118,0,0.0
164.692,0.30163,0,0.0
164.693,0.30163,0,0.0
164.694,0.29396,0,0.0
164.695,0.29396,0,0.0
164.696,0.30163,0,0.0
164.697,0.28118,0,0.0
164.698,0.28885,0,0.0
164.699,0.29651,0,0.0
164.7,0.30163,0,0.0
164.701,0.29651,0,0.0
164.702,0.30163,0,0.0
164.703,0.28373,0,0.0
164.704,0.27606,0,0.0
164.705,0.28629,0,0.0
164.706,0.30163,0,0.0
164.707,0.29651,0,0.0
164.708,0.28629,0,0.0
164.709,0.29651,0,0.0
164.71,0.27351,0,0.0
164.711,0.2914,0,0.0
164.712,0.28629,0,0.0
164.713,0.2914,0,0.0
164.714,0.30418,0,0.0
164.715,0.2914,0,0.0
164.716,0.28885,0,0.0
164.717,0.27606,0,0.0
164.718,0.27862,0,0.0
164.719,0.27095,0,0.0
164.72,0.28373,0,0.0
164.721,0.28118,0,0.0
164.722,0.2914,0,0.0
164.723,0.28629,0,0.0
164.724,0.30163,0,0.0
164.725,0.26584,0,0.0
164.726,0.27862,0,0.0
164.727,0.2684,0,0.0
164.728,0.28885,0,0.0
164.729,0.28629,0,0.0
164.73,0.2914,0,0.0
164.731,0.27606,0,0.0
164.732,0.25817,0,0.0
164.733,0.28629,0,0.0
164.734,0.28118,0,0.0
164.735,0.28118,0,0.0
164.736,0.27606,0,0.0
164.737,0.28118,0,0.0
164.738,0.28118,0,0.0
164.739,0.27606,0,0.0
164.74,0.27351,0,0.0
164.741,0.26328,0,0.0
164.742,0.26584,0,0.0
164.743,0.28118,0,0.0
164.744,0.2684,0,0.0
164.745,0.29396,0,0.0
164.746,0.28118,0,0.0
164.747,0.2684,0,0.0
164.748,0.2684,0,0.0
164.749,0.27095,0,0.0
164.75,0.26328,0,0.0
164.751,0.26584,0,0.0
164.752,0.26584,0,0.0
164.753,0.27351,0,0.0
164.754,0.27351,0,0.0
164.755,0.26328,0,0.0
164.756,0.2684,0,0.0
164.757,0.28629,0,0.0
164.758,0.26328,0,0.0
164.759,0.28118,0,0.0
164.76,0.28373,0,0.0
164.761,0.26073,0,0.0
164.762,0.25562,0,0.0
164.763,0.2684,0,0.0
164.764,0.2684,0,0.0
164.765,0.26584,0,0.0
164.766,0.25817,0,0.0
164.767,0.25562,0,0.0
164.768,0.27606,0,0.0
164.769,0.2505,0,0.0
164.77,0.27095,0,0.0
164.771,0.27095,0,0.0
164.772,0.27095,0,0.0
164.773,0.26584,0,0.0
164.774,0.2505,0,0.0
164.775,0.2684,0,0.0
164.776,0.26073,0,0.0
164.777,0.25562,0,0.0
164.778,0.27606,0,0.0
164.779,0.2684,0,0.0
164.78,0.2505,0,0.0
164.781,0.25306,0,0.0
164.782,0.25817,0,0.0
164.783,0.26073,0,0.0
164.784,0.27095,0,0.0
164.785,0.26584,0,0.0
164.786,0.25562,0,0.0
164.787,0.26073,0,0.0
164.788,0.26328,0,0.0
164.789,0.25817,0,0.0
164.79,0.25817,0,0.0
164.791,0.25562,0,0.0
164.792,0.2505,0,0.0
164.793,0.2684,0,0.0
164.794,0.25562,0,0.0
164.795,0.2505,0,0.0
164.796,0.24028,0,0.0
164.797,0.2505,0,0.0
164.798,0.24539,0,0.0
164.799,0.2684,0,0.0
164.8,0.2505,0,0.0
164.801,0.24283,0,0.0
164.802,0.24539,0,0.0
164.803,0.24283,0,0.0
164.804,0.22239,0,0.0
164.805,0.25562,0,0.0
164.806,0.27095,0,0.0
164.807,0.25306,0,0.0
164.808,0.24283,0,0.0
164.809,0.24795,0,0.0
164.81,0.24028,0,0.0
164.811,0.24795,0,0.0
164.812,0.25306,0,0.0
164.813,0.2684,0,0.0
164.814,0.24795,0,0.0
164.815,0.24283,0,0.0
164.816,0.25817,0,0.0
164.817,0.24795,0,0.0
164.818,0.24283,0,0.0
164.819,0.24283,0,0.0
164.82,0.26328,0,0.0
164.821,0.26328,0,0.0
164.822,0.2505,0,0.0
164.823,0.24795,0,0.0
164.824,0.26073,0,0.0
164.825,0.26073,0,0.0
164.826,0.2505,0,0.0
164.827,0.21472,0,0.0
164.828,0.2275,0,0.0
164.829,0.2684,0,0.0
164.83,0.25817,0,0.0
164.831,0.24028,0,0.0
164.832,0.25306,0,0.0
164.833,0.23517,0,0.0
164.834,0.25306,0,0.0
164.835,0.26073,0,0.0
164.836,0.25817,0,0.0
164.837,0.23772,0,0.0
164.838,0.24283,0,0.0
164.839,0.25306,0,0.0
164.84,0.27095,0,0.0
164.841,0.25817,0,0.0
164.842,0.25562,0,0.0
164.843,0.22494,0,0.0
164.844,0.25817,0,0.0
164.845,0.26073,0,0.0
164.846,0.26073,0,0.0
164.847,0.26073,0,0.0
164.848,0.27351,0,0.0
164.849,0.24539,0,0.0
164.85,0.23772,0,0.0
164.851,0.24795,0,0.0
164.852,0.26073,0,0.0
164.853,0.25562,0,0.0
164.854,0.2505,0,0.0
164.855,0.2505,0,0.0
164.856,0.26328,0,0.0
164.857,0.26328,0,0.0
164.858,0.26584,0,0.0
164.859,0.25306,0,0.0
164.86,0.25562,0,0.0
164.861,0.26073,0,0.0
164.862,0.26073,0,0.0
164.863,0.26584,0,0.0
164.864,0.24795,0,0.0
164.865,0.25817,0,0.0
164.866,0.24028,0,0.0
164.867,0.24539,0,0.0
164.868,0.26584,0,0.0
164.869,0.25306,0,0.0
164.87,0.26328,0,0.0
164.871,0.26584,0,0.0
164.872,0.24539,0,0.0
164.873,0.25306,0,0.0
164.874,0.26073,0,0.0
164.875,0.26328,0,0.0
164.876,0.26328,0,0.0
164.877,0.25817,0,0.0
164.878,0.26328,0,0.0
164.879,0.24539,0,0.0
164.88,0.25306,0,0.0
164.881,0.26073,0,0.0
164.882,0.27095,0,0.0
164.883,0.26584,0,0.0
164.884,0.23772,0,0.0
164.885,0.25562,0,0.0
164.886,0.26073,0,0.0
164.887,0.26073,0,0.0
164.888,0.25817,0,0.0
164.889,0.25817,0,0.0
164.89,0.26328,0,0.0
164.891,0.25817,0,0.0
164.892,0.25562,0,0.0
164.893,0.27095,0,0.0
164.894,0.27095,0,0.0
164.895,0.26584,0,0.0
