t,ch1,ch1_marked
165.248,0.26328,0.5123887658119202
165.249,0.2684,0.008745532482862473
165.25,0.2684,0.012602927163243294
165.251,0.27095,0.0035691047087311745
165.252,0.26328,0.0005697378655895591
165.253,0.25306,0.006237181834876537
165.254,0.24795,0.0061517562717199326
165.255,0.26584,0.008219984360039234
165.256,0.25306,0.0045753903687000275
165.257,0.28118,0.006463669706135988
165.258,0.27606,0.0024778717197477818
165.259,0.25562,0.0031012208200991154
165.26,0.25817,0.00546150142326951
165.261,0.2505,0.010040617547929287
165.262,0.27351,0.0030181272886693478
165.263,0.24795,0.00307050091214478
165.264,0.2684,0.0026180746499449015
165.265,0.27095,0.0024459706619381905
165.266,0.25306,0.0009306094725616276
165.267,0.24539,0.016947105526924133
165.268,0.2505,0.0022249866742640734
165.269,0.27095,0.003202996216714382
165.27,0.24795,0.003714245744049549
165.271,0.25562,0.003958845045417547
165.272,0.24539,0.016053184866905212
165.273,0.24539,0.00032998344977386296
165.274,0.2505,0.009080857038497925
165.275,0.25306,0.0040867263451218605
165.276,0.23517,0.0014174081152305007
165.277,0.26584,0.0073488554917275906
165.278,0.24028,0.0035407161340117455
165.279,0.24795,0.004357215482741594
165.28,0.24539,0.009683116339147091
165.281,0.25306,0.011813011020421982
165.282,0.23517,0.0017654022667557001
165.283,0.2684,0.0014656272251158953
165.284,0.2505,0.005132820922881365
165.285,0.24283,0.0030402380507439375
165.286,0.23261,0.0028910725377500057
165.287,0.24539,0.004927186761051416
165.288,0.23517,0.0026977513916790485
165.289,0.24028,0.0036703459918498993
165.29,0.2275,0.0025974682066589594
165.291,0.25306,0.0020358883775770664
165.292,0.24028,0.00821574404835701
165.293,0.24539,0.011305281892418861
165.294,0.23005,0.03512410447001457
165.295,0.24795,0.010562782175838947
165.296,0.24539,0.0016241703415289521
165.297,0.2275,0.01341917272657156
165.298,0.23517,0.8651211261749268
165.299,0.23261,0.0033822301775217056
165.3,0.2275,0.00678118085488677
165.301,0.23261,0.01237372774630785
165.302,0.22239,0.000834708334878087
165.303,0.24795,0.024475878104567528
165.304,0.24283,0.0005636943969875574
165.305,0.2275,0.007201259955763817
165.306,0.23261,0.0028821690939366817
165.307,0.22494,0.0009296431089751422
165.308,0.23517,0.012287601828575134
165.309,0.2275,0.006302339024841785
165.31,0.23261,0.003917100373655558
165.311,0.24028,0.004167662933468819
165.312,0.24539,0.00303404382430017
165.313,0.22239,0.008388219401240349
165.314,0.2275,0.003902136581018567
165.315,0.24283,0.0013109628343954682
165.316,0.24283,0.0077484105713665485
165.317,0.22494,0.007210180163383484
165.318,0.23005,0.018463529646396637
165.319,0.23772,0.007910680957138538
165.32,0.24028,0.0027544114273041487
165.321,0.2505,0.0052532022818923
165.322,0.24539,0.004549273755401373
165.323,0.23261,0.13160595297813416
165.324,0.23517,0.019461210817098618
165.325,0.25306,0.04997364804148674
165.326,0.24539,0.025652732700109482
165.327,0.24539,0.07945071905851364
165.328,0.24539,0.3055059611797333
165.329,0.23517,0.3751853108406067
165.33,0.2505,0.18937939405441284
165.331,0.2505,0.2794380486011505
165.332,0.22239,0.05677353963255882
165.333,0.21472,0.15304678678512573
165.334,0.25562,0.26067331433296204
165.335,0.26328,0.08474027365446091
165.336,0.24539,0.29576826095581055
165.337,0.24028,0.5266618728637695
165.338,0.2275,0.2005464732646942
165.339,0.2275,0.6134650707244873
165.34,0.2684,0.3015904128551483
165.341,0.2505,0.1065865010023117
165.342,0.26073,0.3609796166419983
165.343,0.24795,0.552571177482605
165.344,0.25306,0.14525048434734344
165.345,0.24795,0.2933266758918762
165.346,0.25562,0.7849372625350952
165.347,0.25306,0.29486215114593506
165.348,0.24795,0.6138238906860352
165.349,0.2505,0.030881205573678017
165.35,0.25562,0.1153276190161705
165.351,0.24795,0.058546505868434906
165.352,0.26328,0.024885034188628197
165.353,0.26584,0.11494754254817963
165.354,0.26073,0.021352818235754967
165.355,0.26328,0.03726523369550705
165.356,0.26073,0.050948064774274826
165.357,0.25306,0.12177185714244843
165.358,0.2505,0.018895519897341728
165.359,0.25817,0.11236344277858734
165.36,0.25306,0.27430424094200134
165.361,0.26073,0.016025297343730927
165.362,0.25562,0.021810157224535942
165.363,0.27095,0.07005301117897034
165.364,0.24539,0.01964590512216091
165.365,0.24283,0.05186699703335762
165.366,0.25306,0.06558284163475037
165.367,0.26073,0.06412385404109955
165.368,0.26584,0.022973379120230675
165.369,0.25817,0.057972218841314316
165.37,0.26073,0.03106129914522171
165.371,0.27351,0.10354680567979813
165.372,0.25817,0.10707502067089081
165.373,0.25306,0.4953407645225525
165.374,0.26584,0.8382766842842102
165.375,0.2505,0.7094963788986206
165.376,0.26584,0.30260202288627625
165.377,0.26584,0.5267736911773682
165.378,0.27862,0.7277703285217285
